date,open,high,low,close,volume
2024-01-01,100.00,105.00,98.00,102.00,100000
2024-01-02,102.00,108.00,101.00,107.00,120000
2024-01-03,107.00,109.00,103.00,104.00,130000
2024-01-04,104.00,111.00,104.00,110.00,150000
2024-01-05,110.00,115.00,108.00,114.00,160000
2024-01-08,114.00,116.00,109.00,111.00,140000
2024-01-09,111.00,113.00,106.00,108.00,110000
2024-01-10,108.00,112.00,107.00,111.00,125000
2024-01-11,111.00,118.00,110.00,117.00,175000
2024-01-12,117.00,120.00,114.00,119.00,180000
2024-01-15,119.00,122.00,115.00,116.00,135000
2024-01-16,116.00,117.00,110.00,112.00,115000
2024-01-17,112.00,115.00,109.00,114.00,120000
2024-01-18,114.00,119.00,113.00,118.00,155000
2024-01-19,118.00,123.00,117.00,122.00,190000
2024-01-22,122.00,125.00,119.00,120.00,145000
2024-01-23,120.00,121.00,114.00,115.00,110000
2024-01-24,115.00,118.00,113.00,117.00,125000
2024-01-25,117.00,124.00,116.00,123.00,200000
2024-01-26,123.00,127.00,121.00,126.00,210000
2024-01-29,126.00,128.00,120.00,121.00,130000
2024-01-30,121.00,123.00,117.00,119.00,115000
2024-01-31,119.00,122.00,118.00,121.00,120000
2024-02-01,121.00,126.00,120.00,125.00,165000
2024-02-02,125.00,130.00,124.00,129.00,220000
2024-02-05,129.00,132.00,126.00,127.00,150000
2024-02-06,127.00,129.00,122.00,124.00,130000
2024-02-07,124.00,128.00,123.00,127.00,140000
2024-02-08,127.00,133.00,126.00,132.00,230000
2024-02-09,132.00,136.00,130.00,135.00,250000
 
